Date,Open,High,Low,Close
2000-01-31,25.848,28.847,25.848,28.663
2000-02-29,28.581,28.884,28.581,28.704
2000-03-31,28.607,28.654,28.29,28.609
2000-04-30,28.778,28.793,27.064,28.177
2000-05-31,28.154,28.333,27.187,28.015
2000-06-30,28.256,28.361,26.778,27.82
2000-07-31,27.82,28.033,26.715,27.996
2000-08-31,27.88,28.277,27.589,27.633
2000-09-30,27.793,28.003,27.71,27.814
2000-10-31,27.827,28.05,27.661,27.769
2000-11-30,27.859,27.971,26.506,27.746
2000-12-31,27.734,28.404,27.092,28.404
2001-01-31,28.543,28.553,28.062,28.237
2001-02-28,28.233,28.668,27.335,28.403
2001-03-31,28.422,28.77,28.419,28.54
2001-04-30,28.619,28.952,27.495,28.952
2001-05-31,28.941,29.163,28.941,29.163
2001-06-30,29.091,29.192,28.863,28.922
2001-07-31,28.922,29.26,28.922,29.113
2001-08-31,29.097,29.44,29.083,29.44
2001-09-30,29.44,29.48,29.422,29.47
2001-10-31,29.457,29.73,29.457,29.73
2001-11-30,29.772,29.959,29.641,29.939
2001-12-31,29.956,30.497,29.943,30.497
2002-01-31,30.614,30.712,30.473,30.71
2002-02-28,30.738,30.965,30.738,30.961
2002-03-31,31.029,31.185,31.022,31.117
2002-04-30,31.196,31.237,31.174,31.237
2002-05-31,31.241,31.34,31.237,31.34
2002-06-30,31.337,31.521,31.335,31.521
2002-07-31,31.521,31.596,31.501,31.535
2002-08-31,31.568,31.634,31.549,31.608
2002-09-30,31.608,31.722,31.608,31.722
2002-10-31,31.726,31.791,31.684,31.791
2002-11-30,31.788,31.867,31.788,31.849
2002-12-31,31.85,31.95,31.79,31.95
2003-01-31,31.889,31.89,31.793,31.848
2003-02-28,31.841,31.841,31.517,31.573
2003-03-31,31.594,31.594,31.375,31.382
2003-04-30,31.285,31.287,31.098,31.109
2003-05-31,31.114,31.114,30.623,30.687
2003-06-30,30.665,30.751,30.312,30.347
2003-07-31,30.347,30.504,30.238,30.258
2003-08-31,30.403,30.522,30.275,30.522
2003-09-30,30.522,30.726,30.4,30.587
2003-10-31,30.525,30.525,29.827,29.946
2003-11-30,29.872,29.872,29.73,29.741
2003-12-31,29.699,29.699,29.24,29.24
2004-01-31,29.237,29.237,28.473,28.531
2004-02-29,28.598,28.598,28.45,28.525
2004-03-31,28.534,28.642,28.489,28.52
2004-04-30,28.511,29.016,28.511,29.016
2004-05-31,28.871,29.083,28.871,28.99
2004-06-30,29.037,29.076,29.015,29.076
2004-07-31,29.076,29.128,28.992,29.104
2004-08-31,29.104,29.275,29.104,29.26
2004-09-30,29.235,29.237,29.209,29.223
2004-10-31,29.216,29.222,28.738,28.743
2004-11-30,28.77,28.789,28.129,28.129
2004-12-31,27.941,28.107,27.72,27.72
2005-01-31,27.957,28.176,27.825,28.022
2005-02-28,27.972,28.197,27.672,27.672
2005-03-31,27.688,27.871,27.451,27.871
2005-04-30,27.809,27.914,27.708,27.783
2005-05-31,27.827,28.239,27.782,28.239
2005-06-30,28.388,28.679,28.356,28.629
2005-07-31,28.629,28.836,28.573,28.616
2005-08-31,28.616,28.616,28.31,28.566
2005-09-30,28.422,28.563,28.228,28.458
2005-10-31,28.667,28.667,28.425,28.56
2005-11-30,28.686,28.891,28.542,28.803
2005-12-31,28.864,28.986,28.62,28.738
2006-01-31,28.5,28.5,27.946,28.119
2006-02-28,28.146,28.279,28.029,28.029
2006-03-31,28.051,28.065,27.659,27.709
2006-04-30,27.737,27.737,27.251,27.251
2006-05-31,27.17,27.177,26.931,26.99
2006-06-30,27.093,27.106,26.715,26.861
2006-07-31,26.861,27.055,26.808,26.818
2006-08-31,26.806,26.819,26.667,26.775
2006-09-30,26.738,26.809,26.67,26.784
2006-10-31,26.738,26.987,26.693,26.693
2006-11-30,26.705,26.766,26.241,26.241
2006-12-31,26.19,26.413,26.187,26.323
2007-01-31,26.487,26.587,26.476,26.505
2007-02-28,26.493,26.545,26.108,26.116
2007-03-31,26.18,26.264,25.949,25.949
2007-04-30,25.974,25.989,25.683,25.683
2007-05-31,25.736,25.919,25.721,25.887
2007-06-30,25.901,26.07,25.71,25.742
2007-07-31,25.7,25.77,25.36,25.569
2007-08-31,25.56,25.91,25.29,25.647
2007-09-30,25.63,25.72,24.83,24.895
2007-10-31,24.84,25.07,24.63,24.698
2007-11-30,24.62,24.72,24.23,24.457
2007-12-31,24.48,24.78,24.37,24.463
2008-01-31,24.463,24.91,24.24,24.456
2008-02-29,24.42,24.8,23.95,24.009
2008-03-31,24,24.05,23.39,23.484
2008-04-30,23.49,23.71,23.29,23.686
2008-05-31,23.77,23.91,23.48,23.683
2008-06-30,23.67,23.84,23.36,23.454
2008-07-31,23.43,23.56,23.05,23.439
2008-08-31,23.43,24.75,23.35,24.643
2008-09-30,24.64,25.85,24.64,25.657
2008-10-31,25.62,27.38,25.58,27.094
